event-id,visible,timestamp,location-long,location-lat,acceleration-raw-x,acceleration-raw-y,acceleration-raw-z,bar:barometric-height,battery-charge-percent,battery-charging-current,external-temperature,gps:hdop,gps:satellite-count,gps-time-to-fix,ground-speed,heading,height-above-msl,import-marked-outlier,gls:light-level,mag:magnetic-field-raw-x,mag:magnetic-field-raw-y,mag:magnetic-field-raw-z,orn:transmission-protocol,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
36171390966,TRUE,45:53.0,-98.61737823,48.34912872,152,217,1048,0,85,0,31,0.8,12,38.74,0,179,450,FALSE,0,-0.183,0.371,-0.613,GPRS,4057,gps,Anas platyrhynchos,223122,TNWR-9-M-YR1,Mallard Connectivity
36171390967,TRUE,45:21.0,-98.61729431,48.34899902,120,243,1043,0,83,0,31,1.2,7,7.62,0.555555556,138,450,FALSE,0,-0.092,0.155,-0.569,GPRS,4049,gps,Anas platyrhynchos,223122,TNWR-9-M-YR1,Mallard Connectivity
36171390968,TRUE,45:44.0,-98.61810303,48.34903717,98,201,1053,0,83,0,29,1.2,9,29.68,0,109,445,FALSE,0,-0.197,0.076,-0.615,GPRS,4049,gps,Anas platyrhynchos,223122,TNWR-9-M-YR1,Mallard Connectivity
36171390969,TRUE,45:44.0,-98.61859894,48.34888458,424,199,997,0,83,0,31,1.4,6,29.66,0,225,448,FALSE,0,-0.101,0.136,-0.593,GPRS,4049,gps,Anas platyrhynchos,223122,TNWR-9-M-YR1,Mallard Connectivity
36171390970,TRUE,45:44.0,-98.61833191,48.34896851,451,218,994,0,83,0,30,1,8,29.64,0,178,443,FALSE,0,-0.093,0.122,-0.583,GPRS,4046,gps,Anas platyrhynchos,223122,TNWR-9-M-YR1,Mallard Connectivity
36171390971,TRUE,45:54.0,-98.61778259,48.34903717,93,168,1069,0,83,0,24,1.2,8,39.61,0,54,468,FALSE,0,-0.194,0.368,-0.602,GPRS,4046,gps,Anas platyrhynchos,223122,TNWR-9-M-YR1,Mallard Connectivity
36171390972,TRUE,45:44.0,-98.61739349,48.34909058,129,257,1024,0,82,0,31,1.8,6,29.58,0,325,458,FALSE,0,-0.326,0.058,-0.64,GPRS,4043,gps,Anas platyrhynchos,223122,TNWR-9-M-YR1,Mallard Connectivity
36171390973,TRUE,45:44.0,-98.61837769,48.34912109,167,-8,1053,0,81,0,28,1.1,6,29.55,0,289,452,FALSE,0,-0.59,0.295,-0.651,GPRS,4038,gps,Anas platyrhynchos,223122,TNWR-9-M-YR1,Mallard Connectivity
36171390974,TRUE,45:45.0,-98.6173172,48.34912109,136,311,1015,0,81,0,32,1.1,5,30.53,0,67,446,FALSE,0,-0.356,0.321,-0.648,GPRS,4038,gps,Anas platyrhynchos,223122,TNWR-9-M-YR1,Mallard Connectivity
36171390975,TRUE,45:53.0,-98.61737823,48.34909058,133,285,1030,0,80,0,33,1.1,9,38.52,0,308,459,FALSE,0,-0.328,0.075,-0.642,GPRS,4032,gps,Anas platyrhynchos,223122,TNWR-9-M-YR1,Mallard Connectivity
