tag-local-identifier,predicted-location-lat,predicted-location-long
234442,-0.13495632,0.1194409
236791,-0.28742594,0.07838921
236830,-0.38198555,0.0674727
234447,0.8010453,-0.92854035
236820,-0.41573685,0.11003211
236885,-0.40550977,0.09895031
234489,-2.2709372,1.5323275
236862,-0.42950457,0.111041024
223122,0.34013963,-0.03132324
223122,0.3280339,-0.044800207
236802,0.49263602,-0.75106436
226524,0.24743968,-0.16023509
234480,-2.6729505,1.7772363
236846,0.92243105,-1.2008963
236799,1.7222177,-0.8798177
236872,0.040615074,-0.05563797
234470,-0.77850217,1.0808362
234489,-2.2640667,1.4867045
234452,1.1808434,-1.5261207
226532,-0.3147366,0.0041281134
236812,0.7226013,-1.1261569
234439,-2.255884,1.580989
234511,0.6373222,-0.84506
234591,0.10460725,-0.3980921
236843,-0.39087915,0.6195335
226506,-0.4790249,0.14493324
236889,-0.4545523,0.123404324
236820,-0.43675485,0.123180255
236816,-0.7800899,0.3399939
226534,1.204329,-1.4997696
226520,-0.09862517,-0.18621537
236791,-0.33059022,0.048780605
234575,0.2822808,-0.15007274
226513,-0.6398055,0.45567775
234470,-0.77408624,1.097186
236794,0.0809953,-0.44829303
236830,-0.37506145,0.071318865
236861,0.59103954,2.8818493
234542,-0.70343506,0.30865532
234486,-2.4708006,1.5817581
234522,0.8874555,-1.174863
234441,0.3189714,-0.12334602
234512,0.36044663,-0.06841573
236885,-0.35564646,0.100932226
234541,0.49682754,-0.60974157
234452,0.8117148,-1.0558923
223151,-0.6652694,1.3083376
226582,0.9238772,-1.2048867
234452,0.8502977,-1.0735276
236812,0.7253391,-1.1335117
236812,0.6926527,-1.1072066
226554,-1.044908,1.7697636
234490,0.70372766,-0.771677
234511,0.6886486,-0.9218575
226540,-0.35785183,0.013692781
226540,-0.34804937,0.03120324
236792,-0.907035,0.97973967
226540,-0.38249022,0.02897352
226517,0.43715352,2.925941
226568,0.48106062,-0.650974
234452,1.1707621,-1.5043329
236843,-0.3645637,0.5882663
226534,1.2166781,-1.4931446
236858,0.27441826,-0.12560526
236846,0.87966114,-1.137214
234528,1.2330449,-1.5717481
234522,0.92533714,-1.2283658
236843,-0.32711917,0.5817299
234547,0.27876693,-0.029435113
236820,-0.39105994,0.10311662
236816,-0.77955186,0.329476
226611,-0.7675016,0.33873475
234472,-0.36721182,0.06961161
234541,0.48081398,-0.6310473
236837,-0.69433504,0.30335116
236864,0.5283854,0.048073754
236841,0.058157973,0.058853492
234480,-2.6551285,1.7337765
226554,-1.0148598,1.7296147
234445,-1.3531022,1.2688954
226534,1.2086635,-1.4899741
236830,-0.34754744,0.058757484
236811,-0.27306294,0.10651083
236830,-0.38756925,0.08143555
234591,0.10584552,-0.39883763
234451,0.2707858,-0.12618184
234480,-2.6681826,1.7791681
234511,0.65501535,-0.87768924
234451,0.20441908,-0.10118081
236800,1.9315228,-1.885868
236843,-0.32034835,0.5772699
234542,-0.68062437,0.29093933
234449,1.0290499,-0.09858821
236818,1.0224538,0.20885311
234547,0.31927893,-0.029958777
236885,-0.38990507,0.09508832
236858,0.3189597,-0.11840674
226506,-0.47629192,0.15630217
236864,0.57057136,0.0977328
236811,-0.2576746,0.18137266
234537,-0.5326945,0.27792484
234497,-0.54081786,0.24629413
236843,-0.38771364,0.6058749
236834,0.3444619,-0.04979033
236872,0.0829994,-0.07628004
234545,1.9245632,-1.9175602
236794,0.08090348,-0.44345927
236830,-0.4031616,0.08392714
234453,0.3196921,-0.44163698
234475,0.22331968,-0.050303668
226514,0.9291243,-1.1400448
236811,-0.2554285,0.17575966
234528,1.2697012,-1.6147565
234442,-0.19848745,0.20612793
226530,-0.352446,0.038024202
236832,-0.063071415,0.7112287
236826,3.9130309,-3.8037443
226526,-0.26028585,0.25467974
236889,-0.43412697,0.111114636
236845,-0.3055307,0.0114274025
226527,-0.20416497,0.1782536
