"Latitude","Longitude","GridID","GridX","GridY"
36,-85.7,"OHX",90,52
36,-85.6,"OHX",93,52
36,-85.5,"OHX",97,53
36,-85.4,"OHX",100,53
36,-85.3,"OHX",104,53
36.1,-85.7,"OHX",89,57
36.1,-85.6,"OHX",93,57
36.1,-85.5,"OHX",96,57
36.1,-85.4,"OHX",100,57
36.1,-85.3,"OHX",104,58
36.2,-85.7,"OHX",89,61
36.2,-85.6,"OHX",93,61
36.2,-85.5,"OHX",96,61
36.2,-85.4,"OHX",100,62
36.2,-85.3,"OHX",103,62
36.3,-85.7,"OHX",89,65
36.3,-85.6,"OHX",92,66
36.3,-85.5,"OHX",96,66
36.3,-85.4,"OHX",99,66
36.3,-85.3,"OHX",103,66
